system,conc,temp,SLT_IDs,n_step,n_deriv,dir,pdbfile,dcdfile,resfiles,ff_files
p4444_tfa_water,0.05,300,140,3857,3858,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst,npt_final-4.pdb,md_npt-4.dcd,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted_residues.xml,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted.xml
p4444_tfa_water,0.05,300,26,3857,3858,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst,npt_final-4.pdb,md_npt-4.dcd,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted_residues.xml,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted.xml
p4444_tfa_water,0.05,300,18,3857,3858,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst,npt_final-4.pdb,md_npt-4.dcd,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted_residues.xml,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted.xml
p4444_tfa_water,0.05,300,51,3857,3858,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst,npt_final-4.pdb,md_npt-4.dcd,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted_residues.xml,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted.xml
p4444_tfa_water,0.05,300,177,3857,3858,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst,npt_final-4.pdb,md_npt-4.dcd,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted_residues.xml,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted.xml
p4444_tfa_water,0.05,300,197,3857,3858,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst,npt_final-4.pdb,md_npt-4.dcd,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted_residues.xml,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted.xml
p4444_tfa_water,0.05,300,67,3857,3858,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst,npt_final-4.pdb,md_npt-4.dcd,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted_residues.xml,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted.xml
p4444_tfa_water,0.05,300,50,3857,3858,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst,npt_final-4.pdb,md_npt-4.dcd,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted_residues.xml,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted.xml
p4444_tfa_water,0.05,300,4,3857,3858,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst,npt_final-4.pdb,md_npt-4.dcd,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted_residues.xml,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted.xml
p4444_tfa_water,0.05,300,191,3857,3858,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst,npt_final-4.pdb,md_npt-4.dcd,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted_residues.xml,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted.xml
p4444_tfa_water,0.05,300,170,3857,3858,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst,npt_final-4.pdb,md_npt-4.dcd,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted_residues.xml,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted.xml
p4444_tfa_water,0.05,300,106,3857,3858,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst,npt_final-4.pdb,md_npt-4.dcd,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted_residues.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted_residues.xml,/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TFA_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/HOH_sorted.xml:/storage/home/hhive1/sparmar32/projects/HTMD/force_field/OPLS/example_lcst/TBP_sorted.xml
